                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0068,                0.56013,                 1.0265,                0.83141,                0.23404,                0.27721,                0.17318,                 1.4121,                 3.0754,                 1.3413,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96407,                0.54269,                 1.0129,                0.70325,                0.21277,                0.26956,                0.16729,                 1.4958,                 3.2359,                 1.3173,              0.0013268,              0.0013268,              0.0013268
                     37,                0.97258,                0.54197,                 1.0213,                0.95337,                0.21277,                0.25572,                0.16227,                 1.8317,                 2.8312,                 1.4217,               0.001307,               0.001307,               0.001307
                     38,                 0.9981,                0.55668,                 1.0192,                0.93667,                0.23404,                0.34131,                0.21521,                  1.701,                 2.0318,                 1.4125,              0.0012872,              0.0012872,              0.0012872
                     39,                0.95323,                0.52183,                 1.0108,                0.87492,                0.23404,                0.25336,                0.16557,                 2.2251,                 3.3338,                 1.6001,              0.0012674,              0.0012674,              0.0012674
                     40,                0.94205,                 0.5235,                 1.0095,                 0.6876,                0.21277,                0.21941,                0.15076,                 2.4965,                 4.1352,                 1.6191,              0.0012476,              0.0012476,              0.0012476
                     41,                0.90912,                0.50018,                0.97745,                0.82932,                0.21277,                0.23532,                  0.158,                 1.7952,                 2.9975,                 1.4026,              0.0012278,              0.0012278,              0.0012278
                     42,                0.88707,                 0.4925,                0.97911,                0.90615,                0.20589,                0.24288,                0.16513,                 1.7184,                 2.8982,                 1.3913,               0.001208,               0.001208,               0.001208
                     43,                0.93299,                0.49342,                0.98736,                0.88184,                0.21277,                 0.2696,                0.17995,                 1.4087,                 2.3073,                 1.2963,              0.0011882,              0.0011882,              0.0011882
                     44,                0.90653,                0.47658,                0.98868,                0.84965,                0.21277,                0.23094,                0.15521,                  1.549,                  2.928,                 1.3523,              0.0011684,              0.0011684,              0.0011684
                     45,                0.93469,                0.50956,                 1.0005,                 0.4995,                0.19113,                0.18803,                  0.128,                 2.2533,                 4.6814,                 1.6295,              0.0011486,              0.0011486,              0.0011486
                     46,                0.90264,                 0.4966,                0.99521,                0.76767,                0.21104,                0.22549,                0.14857,                 1.6332,                 3.4818,                 1.3655,              0.0011288,              0.0011288,              0.0011288
                     47,                0.91639,                0.49186,                0.98379,                0.82111,                0.21277,                0.22762,                0.14653,                 2.1131,                 3.4497,                  1.602,               0.001109,               0.001109,               0.001109
                     48,                0.89582,                 0.4803,                0.98093,                0.80128,                0.19149,                0.21603,                0.12929,                 2.0654,                 3.6605,                 1.5976,              0.0010892,              0.0010892,              0.0010892
                     49,                0.87773,                0.48278,                 0.9779,                 0.8996,                0.19073,                 0.2222,                 0.1435,                 1.9793,                 3.2132,                  1.552,              0.0010694,              0.0010694,              0.0010694
                     50,                0.87543,                0.48053,                0.97767,                0.81897,                0.19259,                0.23426,                0.15677,                 2.1627,                 4.0003,                 1.6485,              0.0010496,              0.0010496,              0.0010496
                     51,                0.88758,                0.49726,                0.98243,                0.62726,                0.21277,                0.21888,                0.14932,                 2.7926,                 6.4965,                 1.9957,              0.0010298,              0.0010298,              0.0010298
                     52,                0.85981,                0.48499,                0.97277,                0.50431,                0.19149,                0.19741,                0.13636,                 3.0863,                 9.2693,                 2.0911,                0.00101,                0.00101,                0.00101
                     53,                0.84918,                0.45726,                0.96429,                0.90898,                0.19149,                0.21505,                 0.1492,                 2.5787,                 6.1072,                 1.8842,              0.0009902,              0.0009902,              0.0009902
